Date,callsoffered,acdcalls,abncalls,acceptable
01-Jan-14,913,777,136,549
02-Jan-14,6058,1824,4229,215
03-Jan-14,5852,2332,3512,475
04-Jan-14,1824,1082,741,378
05-Jan-14,837,784,53,734
06-Jan-14,5790,2253,3531,548
07-Jan-14,5371,1820,3548,371
08-Jan-14,4307,1596,2701,240
09-Jan-14,3709,1371,2299,162
10-Jan-14,4104,1471,2609,219
11-Jan-14,1569,819,735,231
12-Jan-14,826,707,119,631
13-Jan-14,5043,1977,3059,158
14-Jan-14,4562,1898,2664,198
15-Jan-14,4120,1587,2530,84
16-Jan-14,4019,1725,2292,184
17-Jan-14,4120,1681,2432,231
18-Jan-14,1632,923,654,199
19-Jan-14,782,587,181,450
20-Jan-14,1421,1001,419,593
21-Jan-14,5284,1975,3305,147
22-Jan-14,4876,1619,3231,146
23-Jan-14,4160,1797,2354,201
24-Jan-14,4208,1836,2367,377
25-Jan-14,1621,869,721,329
26-Jan-14,791,682,107,621
27-Jan-14,4975,1976,2994,272
28-Jan-14,4126,1772,2353,323
29-Jan-14,3652,1560,2091,183
30-Jan-14,3809,1850,1955,1004
31-Jan-14,4123,1906,2214,242
01-Feb-14,1564,896,646,291
02-Feb-14,656,572,82,529
03-Feb-14,5072,2149,2921,924
04-Feb-14,4054,1643,2379,602
05-Feb-14,3903,1790,2099,699
06-Feb-14,3524,2027,1495,1029
07-Feb-14,3661,2002,1652,1114
08-Feb-14,1583,974,603,561
09-Feb-14,836,702,130,633
10-Feb-14,5179,2258,2916,811
11-Feb-14,4139,2326,1811,1030
12-Feb-14,3428,1962,1459,782
13-Feb-14,2997,2029,966,1164
14-Feb-14,3235,2233,1002,1480
15-Feb-14,1546,915,584,584
16-Feb-14,692,608,76,551
17-Feb-14,2883,2345,538,1611
18-Feb-14,4082,2493,1586,1250
19-Feb-14,3660,2275,1381,1130
20-Feb-14,3429,2267,1162,1287
21-Feb-14,3623,2344,1274,1326
22-Feb-14,1360,1008,337,664
23-Feb-14,645,540,105,499
24-Feb-14,3974,2707,1261,1350
25-Feb-14,3321,2523,795,1438
26-Feb-14,3104,2108,995,856
27-Feb-14,2844,2356,488,1606
28-Feb-14,3147,2382,760,1381
01-Mar-14,1448,1133,315,723
02-Mar-14,768,628,129,553
03-Mar-14,3937,2309,1578,1487
04-Mar-14,3936,1956,1958,691
05-Mar-14,3514,2302,1210,1094
06-Mar-14,3498,2263,1217,1175
07-Mar-14,3265,2315,950,1178
08-Mar-14,1350,988,361,661
09-Mar-14,721,471,159,386
10-Mar-14,4341,2537,1789,1219
11-Mar-14,3378,2304,1072,1158
12-Mar-14,3145,2159,981,843
13-Mar-14,3012,2253,754,1294
14-Mar-14,3274,2264,1001,1211
15-Mar-14,1457,1074,382,646
16-Mar-14,690,559,130,509
17-Mar-14,4344,2423,1921,1079
18-Mar-14,3495,2205,1289,869
19-Mar-14,3079,1885,1194,579
20-Mar-14,3018,2100,885,1120
21-Mar-14,3174,2333,839,1302
22-Mar-14,1570,1094,476,659
23-Mar-14,808,609,108,547
24-Mar-14,5231,2966,2254,1165
25-Mar-14,4619,2451,2166,673
26-Mar-14,3834,2385,1447,765
27-Mar-14,3288,2095,1193,1270
28-Mar-14,3432,2183,1249,1259
29-Mar-14,1396,1059,337,749
30-Mar-14,694,596,97,559
31-Mar-14,4798,2467,2328,924
01-Apr-14,4221,2447,1748,904
02-Apr-14,3630,2553,1075,1291
03-Apr-14,3698,2276,1417,1101
04-Apr-14,3647,2072,1573,941
05-Apr-14,1486,977,509,678
06-Apr-14,259,241,17,225
07-Apr-14,4974,2490,2479,982
08-Apr-14,4157,2560,1596,1425
09-Apr-14,3620,2483,1130,1472
10-Apr-14,3325,2448,877,1448
11-Apr-14,3461,2764,697,1748
12-Apr-14,1322,1125,195,894
13-Apr-14,714,634,72,601
14-Apr-14,4222,2671,1550,1329
15-Apr-14,3850,2676,1173,1382
16-Apr-14,3098,2301,797,1205
17-Apr-14,2812,2389,422,1667
18-Apr-14,2816,2445,369,1666
19-Apr-14,1125,975,150,760
20-Apr-14,455,390,61,358
21-Apr-14,3970,2946,1023,1811
22-Apr-14,3278,2489,783,1508
23-Apr-14,2929,2245,683,1164
24-Apr-14,2998,2212,785,1443
25-Apr-14,3266,2441,822,1441
26-Apr-14,1263,926,337,580
27-Apr-14,619,553,65,527
28-Apr-14,4073,2479,1589,1454
29-Apr-14,3267,2569,695,1518
30-Apr-14,2950,2464,486,1573
01-May-14,3122,2419,701,1419
02-May-14,3182,2251,930,1417
03-May-14,1300,1075,224,782
04-May-14,626,556,65,530
05-May-14,4186,2492,1690,1420
06-May-14,3538,2256,1272,1112
07-May-14,3033,2214,818,1090
08-May-14,2885,2018,866,1054
09-May-14,2903,2072,825,957
10-May-14,1110,892,218,580
11-May-14,476,418,57,387
12-May-14,3901,2600,1298,1482
13-May-14,3181,2143,1020,1108
14-May-14,2901,1940,946,890
15-May-14,3112,1912,1200,909
16-May-14,3203,2008,1193,962
17-May-14,1182,965,216,703
18-May-14,639,573,66,543
19-May-14,4047,2358,1684,1400
20-May-14,3367,2316,1051,1173
21-May-14,2874,2137,737,1222
22-May-14,2667,1949,714,972
23-May-14,3040,1978,1060,720
24-May-14,1066,728,334,409
25-May-14,530,465,63,439
26-May-14,805,635,164,570
27-May-14,4019,2157,1854,438
28-May-14,3411,1979,1429,698
29-May-14,2797,1990,806,1019
30-May-14,3102,1990,1112,968
31-May-14,1451,1100,347,767
01-Jun-14,694,599,93,565
02-Jun-14,4336,2309,2025,993
03-Jun-14,3603,2215,1385,874
04-Jun-14,3103,2166,902,1033
05-Jun-14,2910,1902,1008,1035
06-Jun-14,2878,2127,748,1215
07-Jun-14,1083,904,175,752
08-Jun-14,439,374,64,351
09-Jun-14,3625,2220,1396,1290
10-Jun-14,3533,2647,884,1539
11-Jun-14,2669,1956,712,1210
12-Jun-14,2604,1851,751,1135
13-Jun-14,2876,1787,1087,677
14-Jun-14,1061,899,162,704
15-Jun-14,472,400,63,381
16-Jun-14,3577,2457,1118,1504
17-Jun-14,2983,2148,832,1121
18-Jun-14,2732,2050,669,1315
19-Jun-14,2640,1957,682,1171
20-Jun-14,2691,2229,460,1404
21-Jun-14,1186,990,132,848
22-Jun-14,658,581,75,544
